Con1,txt	10	10	5	10	164	164	0,000000
Con2,txt	10	10	7	17	225	230	0,110000
Con3,txt	10	10	10	21	220	247	0,110000
Con4,txt	15	10	5	7	268	268	0,000000
Con5,txt	15	10	7	14	0	358	0,440000
Con6,txt	15	10	10	15	252	289	0,440000
Con7,txt	20	20	5	8	430	430	0,000000
Con8,txt	20	20	7	13	819	834	0,280000
Con9,txt	20	20	10	18	924	924	0,000000
Con10,txt	30	30	5	13	0	1452	0,220000
Con11,txt	30	30	7	15	1518	1688	0,270000
Con12,txt	30	30	10	22	1648	1865	0,220000
Con13,txt	30	30	7	7	1178	1178	0,000000
Con14,txt	30	30	15	15	1216	1270	0,710000
Con15,txt	70	40	19	42	2716	2726	0,160000
Con16,txt	40	70	20	62	1720	1860	0,220000
Con17,txt	100	100	15	50	23572	27718	0,990000
Con18,txt	100	100	30	30	17616	22502	0,770000
Con19,txt	100	100	30	30	0	24019	1,810000
Con20,txt	100	100	33	61	27665	32893	0,720000
Con21,txt	100	100	29	97	21977	27923	0,500000
Con1,txt	10	10	5	10	164	164	0,000000
Con2,txt	10	10	7	17	225	230	0,710000
Con3,txt	10	10	10	21	220	247	1,040000
Con4,txt	15	10	5	7	268	268	0,000000
Con5,txt	15	10	7	14	301	358	0,880000
Con6,txt	15	10	10	15	265	289	1,700000
Con7,txt	20	20	5	8	430	430	0,000000
Con8,txt	20	20	7	13	819	834	1,260000
Con9,txt	20	20	10	18	924	924	0,000000
Con10,txt	30	30	5	13	0	1452	0,390000
Con11,txt	30	30	7	15	1518	1688	1,480000
Con12,txt	30	30	10	22	1648	1865	1,590000
Con13,txt	30	30	7	7	1178	1178	0,000000
Con14,txt	30	30	15	15	1216	1270	1,810000
Con15,txt	70	40	19	42	2673	2726	1,150000
Con16,txt	40	70	20	62	1720	1860	0,720000
Con17,txt	100	100	15	50	23605	27718	3,190000
Con18,txt	100	100	30	30	19083	22502	2,470000
Con19,txt	100	100	30	30	0	24019	0,990000
Con20,txt	100	100	33	61	27898	32893	2,470000
Con21,txt	100	100	29	97	21977	27923	2,740000
Con1,txt	10	10	5	10	164	164	0,000000
Con2,txt	10	10	7	17	225	230	0,610000
Con3,txt	10	10	10	21	220	247	0,990000
Con4,txt	15	10	5	7	268	268	0,000000
Con5,txt	15	10	7	14	301	358	0,610000
Con6,txt	15	10	10	15	252	289	1,590000
Con7,txt	20	20	5	8	430	430	0,000000
Con8,txt	20	20	7	13	819	834	1,160000
Con9,txt	20	20	10	18	924	924	0,000000
Con10,txt	30	30	5	13	0	1452	0,490000
Con11,txt	30	30	7	15	1518	1688	1,370000
Con12,txt	30	30	10	22	1648	1865	1,430000
Con13,txt	30	30	7	7	1178	1178	0,000000
Con14,txt	30	30	15	15	1216	1270	1,650000
Con15,txt	70	40	19	42	2700	2726	1,100000
Con16,txt	40	70	20	62	1720	1860	0,720000
Con17,txt	100	100	15	50	23605	27718	3,070000
Con18,txt	100	100	30	30	19083	22502	2,470000
Con19,txt	100	100	30	30	0	24019	4,120000
Con20,txt	100	100	33	61	27898	32893	2,360000
Con21,txt	100	100	29	97	21977	27923	2,750000
