100
100	100
27	46	0	3	3726
44	11	0	3	484
7	37	0	3	259
17	6	0	3	306
36	2	0	3	216
25	84	0	3	2100
42	18	0	3	756
23	8	0	3	368
67	90	0	3	6030
78	20	0	3	4680
91	28	0	3	5096
30	50	0	3	3000
84	17	0	3	4284
32	36	0	3	2304
42	49	0	3	4116
39	48	0	3	5616
85	20	0	3	3400
80	12	0	3	1920
21	32	0	3	1344
32	50	0	3	3200
87	66	0	3	11484
83	7	0	3	1162
92	8	0	3	2208
79	19	0	3	4503
73	77	0	3	5621
33	87	0	3	2871
46	39	0	3	3588
83	19	0	3	4731
4	25	0	3	300
37	25	0	3	2775
28	25	0	3	2100
16	24	0	3	384
51	69	0	3	10557
15	12	0	3	180
79	37	0	3	2923
90	40	0	3	3600
19	88	0	3	5016
25	7	0	3	525
90	72	0	3	19440
33	21	0	3	1386
44	11	0	3	968
11	47	0	3	1551
15	19	0	3	570
8	24	0	3	384
42	33	0	3	1386
5	34	0	3	340
96	77	0	3	7392
41	31	0	3	1271
19	48	0	3	2736
3	24	0	3	216
20	27	0	3	1080
14	23	0	3	644
15	3	0	3	135
45	77	0	3	3465
35	13	0	3	455
87	50	0	3	4350
42	93	0	3	11718
31	36	0	3	1116
29	46	0	3	4002
39	7	0	3	819
30	39	0	3	2340
35	38	0	3	1330
17	44	0	3	1496
49	33	0	3	1617
3	38	0	3	114
25	48	0	3	2400
23	30	0	3	1380
78	94	0	3	21996
24	41	0	3	1968
84	61	0	3	10248
22	7	0	3	308
7	84	0	3	588
8	9	0	3	216
17	20	0	3	340
90	56	0	3	15120
81	22	0	3	3564
89	3	0	3	267
38	14	0	3	532
24	79	0	3	3792
21	23	0	3	1449
46	10	0	3	460
79	24	0	3	5688
45	40	0	3	3600
30	15	0	3	1350
77	65	0	3	5005
15	7	0	3	210
58	96	0	3	5568
17	38	0	3	1938
49	14	0	3	2058
40	49	0	3	5880
27	81	0	3	2187
13	14	0	3	364
29	20	0	3	1160
13	30	0	3	1170
47	12	0	3	1692
14	87	0	3	2436
15	44	0	3	1320
99	10	0	3	2970
31	7	0	3	217
4	20	0	3	240
