(4,0)(60,30)	1659
(4,4)(49,30)	1716
(4,0)(49,30)	1685
(4,0)(49,26)	1625
(0,0)(49,26)	1621
(0,0)(49,30)	1621
(6,0)(49,30)	1585
(6,0)(48,30)	1538
(18,0)(48,30)	1594
(19,0)(46,30)	1625
(19,0)(46,24)	1626
(19,0)(48,20)	1660
(19,0)(48,24)	1616
(21,0)(48,24)	1646
(21,0)(48,20)	1674
(21,0)(48,21)	1670
(21,0)(60,20)	1659
(21,0)(46,20)	1635
(21,0)(46,21)	1655
(19,3)(46,21)	1737
(19,3)(46,24)	1725
(19,3)(45,24)	1673
(19,11)(35,24)	1765
(19,11)(43,24)	1709
(19,12)(48,24)	1751
(18,12)(48,24)	1747
(18,12)(53,24)	1716
(18,11)(53,24)	1698
(18,12)(60,24)	1667
(18,11)(48,24)	1751
(18,11)(35,24)	1747
(19,9)(35,24)	1730
(19,10)(35,24)	1737
(19,0)(35,24)	1707
(19,0)(38,24)	1721
(18,0)(38,24)	1719
(19,0)(43,24)	1709
(19,4)(43,24)	1660
(19,4)(36,24)	1695
(19,4)(47,24)	1625
(19,10)(47,24)	1716
(19,10)(60,24)	1709
(19,10)(41,24)	1695
(19,10)(43,24)	1649
(19,10)(48,24)	1661
(19,10)(48,30)	1670
(19,10)(44,30)	1709
(18,10)(44,30)	1707
(16,10)(44,30)	1694
(19,0)(44,30)	1665
(19,10)(60,29)	1625
(19,11)(60,29)	1670
(19,11)(50,29)	1652
(18,11)(50,29)	1668
(19,11)(50,30)	1666
(19,11)(46,30)	1625
(19,14)(50,29)	1716
(19,14)(50,30)	1740
(19,14)(46,30)	1716
(18,14)(46,30)	1714
(19,14)(60,30)	1572
(19,14)(60,24)	1596
(18,14)(60,24)	1594
(19,14)(50,28)	1572
(19,11)(46,24)	1674
(18,11)(46,24)	1672
(19,11)(50,24)	1670
(19,10)(46,24)	1666
(19,14)(50,24)	1656
(18,14)(50,24)	1654
(19,10)(50,24)	1648
(19,11)(56,24)	1649
(19,14)(56,24)	1656
(18,14)(56,24)	1654
(19,10)(56,24)	1648
(19,14)(56,30)	1590
(19,14)(56,28)	1572
(18,14)(56,28)	1570
(18,12)(56,24)	1652
(18,11)(56,24)	1674
(18,11)(60,24)	1670
(18,10)(60,24)	1669
(18,10)(50,24)	1651
(18,11)(50,24)	1665
(18,14)(50,28)	1676
(19,10)(50,28)	1668
(18,12)(50,28)	1672
(18,12)(49,24)	1669
(18,12)(49,28)	1676
(18,10)(49,28)	1674
(18,12)(49,30)	1652
(18,12)(50,30)	1672
(18,14)(50,30)	1674
(19,10)(50,30)	1668
(19,14)(53,30)	1679
(19,14)(51,30)	1751
(18,14)(51,30)	1749
(18,14)(39,30)	1737
(18,14)(39,23)	1747
(18,14)(50,23)	1685
(18,10)(50,23)	1681
(11,10)(50,23)	1643
(0,14)(50,23)	1685
(0,14)(39,23)	1751
(0,14)(39,30)	1711
(0,11)(50,23)	1656
(21,10)(39,23)	1757
(21,10)(37,23)	1760
(21,10)(39,22)	1757
(24,11)(39,23)	1727
(24,14)(39,23)	1741
(28,14)(39,23)	1736
(24,8)(38,22)	1721
(24,8)(38,23)	1717
(24,8)(35,23)	1717
(24,8)(39,23)	1717
(24,0)(35,23)	1736
(24,0)(39,23)	1732
(21,0)(39,23)	1687
(21,0)(50,23)	1628
(21,0)(42,23)	1676
(21,0)(40,23)	1687
(21,0)(36,23)	1716
(21,0)(40,21)	1698
(19,4)(40,21)	1730
(19,8)(40,21)	1745
(19,8)(37,21)	1741
(19,8)(38,21)	1741
(19,8)(39,21)	1737
(19,8)(40,23)	1757
(19,4)(40,23)	1730
(19,0)(40,23)	1722
(19,0)(42,23)	1664
(19,8)(42,23)	1699
(19,7)(42,23)	1694
(19,7)(40,23)	1752
(19,7)(50,23)	1700
(19,8)(50,23)	1705
(19,8)(50,22)	1745
(19,8)(39,23)	1737
(19,8)(37,23)	1741
(19,8)(40,28)	1757
(19,8)(40,30)	1743
(19,8)(42,28)	1734
(19,8)(50,28)	1757
(19,8)(50,30)	1743
(19,8)(58,28)	1725
(19,8)(58,30)	1741
(19,7)(58,30)	1736
(19,7)(60,30)	1728
(19,8)(60,30)	1741
(19,8)(60,27)	1635
(19,0)(60,27)	1591
(21,0)(60,30)	1675
(19,9)(60,30)	1716
(19,9)(60,28)	1676
(19,9)(56,30)	1674
(19,9)(48,30)	1700
(19,9)(49,30)	1696
(19,9)(51,30)	1692
(19,9)(55,30)	1626
(19,9)(55,23)	1716
(19,9)(60,23)	1760
(19,9)(51,23)	1700
(19,9)(51,26)	1760
(19,9)(60,26)	1736
(19,9)(56,26)	1745
(19,0)(56,26)	1675
(21,0)(56,26)	1745
(21,0)(51,26)	1760
(21,0)(60,26)	1736
(21,1)(51,26)	1719
(21,1)(60,26)	1695
(21,1)(51,30)	1715
(21,1)(60,30)	1686
(21,1)(58,30)	1697
(21,8)(54,30)	1741
(21,8)(58,30)	1737
(21,7)(54,30)	1736
