Propiedades de las instancia L W m M Valor de la superficie Cota superior superficie ocupada Suma de las piezas Cota superior
Ap1.txt	10	10	5	10	190	100	332	164
Ap2.txt	10	10	7	17	277	100	583	230
Ap3.txt	10	10	10	21	277	100	564	247
Ap4.txt	15	10	5	7	162	141	302	268
Ap5.txt	15	10	7	14	353	150	615	358
Ap6.txt	15	10	10	15	290	150	511	289
Ap7.txt	20	20	5	8	175	430	430	430
Ap8.txt	20	20	7	13	633	400	1411	834
Ap9.txt	20	20	10	18	974	400	1921	924
Ap10.txt	30	30	5	13	1720	880	2631	1452
Ap11.txt	30	30	7	15	1483	900	2911	1688
Ap12.txt	30	30	10	22	2296	900	4357	1865
Ap13.txt	30	30	7	7	956	900	1413	1178
Ap14.txt	30	30	15	15	2538	900	3793	1270
Ap15.txt	70	40	19	42	23910	2800	23910	2726
Ap16.txt	40	70	20	62	44500	2800	21020	1860
Ap17.txt	100	100	15	50	34914	10000	90288	27718
Ap18.txt	100	100	30	30	31398	10000	59454	22502
Ap19.txt	100	100	30	30	36074	10000	77039	24019
Ap20.txt	100	100	33	61	60320	10000	146040	32893
Ap21.txt	100	100	29	97	76698	10000	165333	27923
tfs1_1.txt	100	100	40	40	126769	10000	285868	29955
tfs1_2.txt	100	100	40	40	78804	10000	167812	30000
tfs1_3.txt	100	100	40	40	93476	10000	177258	30000
tfs1_4.txt	100	100	40	40	112046	10000	197698	30000
tfs1_5.txt	100	100	40	40	92752	10000	193354	30000
tfs1_6.txt	100	100	40	40	94546	10000	191292	30000
tfs1_7.txt	100	100	40	40	92200	10000	174196	29994
tfs1_8.txt	100	100	40	40	95763	10000	199938	30000
tfs1_9.txt	100	100	40	40	92594	10000	185970	30000
tfs1_10.txt	100	100	40	40	93364	10000	183371	29982
tfs1_11.txt	100	100	40	120	290856	10000	556167	30000
tfs1_12.txt	100	100	40	120	246705	10000	492846	30000
tfs1_13.txt	100	100	40	120	254481	10000	540873	30000
tfs1_14.txt	100	100	40	120	223761	10000	414102	30000
tfs1_15.txt	100	100	40	120	272544	10000	629034	30000
